file: /dev/rdsk/c1t5000CCA0805CC741d0s2
size: 0x1177082f400
buffer size: 8192
writers: 2
readers: 0
using initial write LBA: 0x8bb8416000
                TIME  NREADS RDLATus  NWRITE WRLATus          WRLBA WR
2017-11-03T20:46:06Z       0       0 23721951      91 0x00b8f73d8000  0
2017-11-03T20:46:07Z       0       0 23742464      91 0x00b90141a000  0
2017-11-03T20:46:08Z       0       0 23763199      91 0x00b90b618000  0
2017-11-03T20:46:09Z       0       0 23785076      91 0x00b916102000  0
2017-11-03T20:46:10Z       0       0 23806736      91 0x00b920a3a000  0
2017-11-03T20:46:11Z       0       0 23827249      91 0x00b92aa7c000  0
2017-11-03T20:46:12Z       0       0 23847762      91 0x00b934abe000  0
2017-11-03T20:46:13Z       0       0 23868689      91 0x00b93ee3c000  0
2017-11-03T20:46:14Z       0       0 23890190      91 0x00b949636000  0
2017-11-03T20:46:15Z       0       0 23911925      91 0x00b954004000  0
2017-11-03T20:46:16Z       0       0 23932398      91 0x00b95dff6000  0
2017-11-03T20:46:17Z       0       0 23952795      91 0x00b967f50000  0
2017-11-03T20:46:18Z       0       0 23973560      91 0x00b97218a000  0
2017-11-03T20:46:19Z       0       0 23995102      91 0x00b97c9d6000  0
2017-11-03T20:46:20Z       0       0 24016521      91 0x00b98712c000  0
2017-11-03T20:46:21Z       0       0 24036897      91 0x00b99105c000  0
2017-11-03T20:46:22Z       0       0 24057410      91 0x00b99b09e000  0
2017-11-03T20:46:23Z       0       0 24078171      91 0x00b9a52d0000  0
2017-11-03T20:46:24Z       0       0 24099924      91 0x00b9afcc2000  0
2017-11-03T20:46:25Z       0       0 24121801      91 0x00b9ba7ac000  0
2017-11-03T20:46:26Z       0       0 24142077      91 0x00b9c4614000  0
2017-11-03T20:46:27Z       0       0 24162590      91 0x00b9ce656000  0
2017-11-03T20:46:28Z       0       0 24183262      91 0x00b9d87d6000  0
2017-11-03T20:46:29Z       0       0 24205016      91 0x00b9e31ca000  0
2017-11-03T20:46:30Z       0       0 24226773      91 0x00b9edbc4000  0
2017-11-03T20:46:31Z       0       0 24247222      91 0x00b9f7b86000  0
2017-11-03T20:46:32Z       0       0 24267502      91 0x00ba019f6000  0
2017-11-03T20:46:33Z       0       0 24288105      91 0x00ba0baec000  0
2017-11-03T20:46:34Z       0       0 24309524      91 0x00ba16242000  0
2017-11-03T20:46:35Z       0       0 24330855      91 0x00ba208e8000  0
2017-11-03T20:46:36Z       0       0 24351002      91 0x00ba2a64e000  0
2017-11-03T20:46:37Z       0       0 24371181      91 0x00ba343f4000  0
2017-11-03T20:46:38Z       0       0 24392434      91 0x00ba3e9fe000  0
2017-11-03T20:46:39Z       0       0 24414187      91 0x00ba493f0000  0
2017-11-03T20:46:40Z       0       0 24436064      91 0x00ba53eda000  0
2017-11-03T20:46:41Z       0       0 24456431      91 0x00ba5ddf8000  0
2017-11-03T20:46:42Z       0       0 24476711      91 0x00ba67c68000  0
2017-11-03T20:46:43Z       0       0 24497843      91 0x00ba72180000  0
2017-11-03T20:46:44Z       0       0 24519718      91 0x00ba7cc66000  0
2017-11-03T20:46:45Z       0       0 24541419      91 0x00ba875f0000  0
2017-11-03T20:46:46Z       0       0 24561932      91 0x00ba91632000  0
