file: /dev/rdsk/c0t5000C50093C2290Fd0s2
size: 0x1177082f400
buffer size: 8192
writers: 2
readers: 0
using initial write LBA: 0x8bb8416000
                TIME  NREADS RDLATus  NWRITE WRLATus          WRLBA WR
2017-11-03T21:18:04Z       0       0 53405038     105 0x00f194efa000  0
2017-11-03T21:18:05Z       0       0 53421187     105 0x00f19cd24000  0
2017-11-03T21:18:06Z       0       0 53437069     105 0x00f1a4938000  0
2017-11-03T21:18:07Z       0       0 53453214     105 0x00f1ac75a000  0
2017-11-03T21:18:08Z       0       0 53469273     105 0x00f1b44d0000  0
2017-11-03T21:18:09Z       0       0 53485388     105 0x00f1bc2b6000  0
2017-11-03T21:18:10Z       0       0 53501517     105 0x00f1c40b8000  0
2017-11-03T21:18:11Z       0       0 53517629     105 0x00f1cbe98000  0
2017-11-03T21:18:12Z       0       0 53533750     105 0x00f1d3c8a000  0
2017-11-03T21:18:13Z       0       0 53549593     105 0x00f1db850000  0
2017-11-03T21:18:14Z       0       0 53565763     105 0x00f1e36a4000  0
2017-11-03T21:18:15Z       0       0 53581771     105 0x00f1eb3b4000  0
2017-11-03T21:18:16Z       0       0 53597899     105 0x00f1f31b4000  0
2017-11-03T21:18:17Z       0       0 53614009     105 0x00f1faf90000  0
2017-11-03T21:18:18Z       0       0 53630048     105 0x00f202cde000  0
2017-11-03T21:18:19Z       0       0 53646157     105 0x00f20aab8000  0
2017-11-03T21:18:20Z       0       0 53662227     105 0x00f212844000  0
2017-11-03T21:18:21Z       0       0 53678375     105 0x00f21a66c000  0
2017-11-03T21:18:22Z       0       0 53694251     105 0x00f222274000  0
2017-11-03T21:18:23Z       0       0 53710400     105 0x00f22a09e000  0
2017-11-03T21:18:24Z       0       0 53726414     105 0x00f231dba000  0
2017-11-03T21:18:25Z       0       0 53742541     105 0x00f239bb8000  0
2017-11-03T21:18:26Z       0       0 53758589     105 0x00f241918000  0
2017-11-03T21:18:27Z       0       0 53774495     105 0x00f24955c000  0
2017-11-03T21:18:28Z       0       0 53790303     105 0x00f2510dc000  0
2017-11-03T21:18:29Z       0       0 53806067     105 0x00f258c04000  0
2017-11-03T21:18:30Z       0       0 53822006     105 0x00f26088a000  0
2017-11-03T21:18:31Z       0       0 53837572     105 0x00f268226000  0
2017-11-03T21:18:32Z       0       0 53853491     105 0x00f26fe84000  0
2017-11-03T21:18:33Z       0       0 53869349     105 0x00f277a68000  0
2017-11-03T21:18:34Z       0       0 53885255     105 0x00f27f6ac000  0
2017-11-03T21:18:35Z       0       0 53901140     105 0x00f2872c6000  0
2017-11-03T21:18:36Z       0       0 53916993     105 0x00f28eea0000  0
2017-11-03T21:18:37Z       0       0 53932909     105 0x00f296af8000  0
2017-11-03T21:18:38Z       0       0 53948574     105 0x00f29e55a000  0
2017-11-03T21:18:39Z       0       0 53964512     105 0x00f2a61de000  0
2017-11-03T21:18:40Z       0       0 53980275     105 0x00f2add04000  0
2017-11-03T21:18:41Z       0       0 53996178     105 0x00f2b5942000  0
2017-11-03T21:18:42Z       0       0 54011968     105 0x00f2bd49e000  0
2017-11-03T21:18:43Z       0       0 54027871     105 0x00f2c50dc000  0
2017-11-03T21:18:44Z       0       0 54043766     105 0x00f2ccd0a000  0
2017-11-03T21:18:45Z       0       0 54059547     105 0x00f2d4854000  0
2017-11-03T21:18:46Z       0       0 54075473     105 0x00f2dc4c0000  0
2017-11-03T21:18:47Z       0       0 54091139     105 0x00f2e3f24000  0
2017-11-03T21:18:48Z       0       0 54107055     105 0x00f2ebb7c000  0
2017-11-03T21:18:49Z       0       0 54122908     105 0x00f2f3756000  0
2017-11-03T21:18:50Z       0       0 54138792     105 0x00f2fb36e000  0
2017-11-03T21:18:51Z       0       0 54154335     105 0x00f302cdc000  0
2017-11-03T21:18:52Z       0       0 54170099     105 0x00f30a804000  0
2017-11-03T21:18:53Z       0       0 54186017     105 0x00f312460000  0
2017-11-03T21:18:54Z       0       0 54201682     105 0x00f319ec2000  0
2017-11-03T21:18:55Z       0       0 54217604     105 0x00f321b26000  0
2017-11-03T21:18:56Z       0       0 54233389     105 0x00f329678000  0
2017-11-03T21:18:57Z       0       0 54249284     105 0x00f3312a6000  0
2017-11-03T21:18:58Z       0       0 54265187     105 0x00f338ee4000  0
2017-11-03T21:18:59Z       0       0 54281069     105 0x00f340af8000  0
2017-11-03T21:19:00Z       0       0 54296964     105 0x00f348726000  0
2017-11-03T21:19:01Z       0       0 54312745     105 0x00f350270000  0
2017-11-03T21:19:02Z       0       0 54328671     105 0x00f357edc000  0
2017-11-03T21:19:03Z       0       0 54344333     105 0x00f35f938000  0
2017-11-03T21:19:04Z       0       0 54360247     105 0x00f36758c000  0
2017-11-03T21:19:05Z       0       0 54376108     105 0x00f36f176000  0
2017-11-03T21:19:06Z       0       0 54391992     105 0x00f376d8e000  0
2017-11-03T21:19:07Z       0       0 54407891     105 0x00f37e9c4000  0
2017-11-03T21:19:08Z       0       0 54423757     105 0x00f3865b8000  0
2017-11-03T21:19:09Z       0       0 54439673     105 0x00f38e210000  0
2017-11-03T21:19:10Z       0       0 54455323     105 0x00f395c54000  0
2017-11-03T21:19:11Z       0       0 54471265     105 0x00f39d8e0000  0
2017-11-03T21:19:12Z       0       0 54487034     105 0x00f3a5412000  0
2017-11-03T21:19:13Z       0       0 54502932     105 0x00f3ad046000  0
2017-11-03T21:19:14Z       0       0 54518812     105 0x00f3b4c56000  0
2017-11-03T21:19:15Z       0       0 54534720     105 0x00f3bc89e000  0
2017-11-03T21:19:16Z       0       0 54550526     105 0x00f3c441a000  0
2017-11-03T21:19:17Z       0       0 54566313     105 0x00f3cbf70000  0
2017-11-03T21:19:18Z       0       0 54582232     105 0x00f3d3bce000  0
2017-11-03T21:19:19Z       0       0 54597900     105 0x00f3db636000  0
2017-11-03T21:19:20Z       0       0 54613818     105 0x00f3e3292000  0
2017-11-03T21:19:21Z       0       0 54629663     105 0x00f3eae5c000  0
2017-11-03T21:19:22Z       0       0 54645554     105 0x00f3f2a82000  0
2017-11-03T21:19:23Z       0       0 54661454     105 0x00f3fa6ba000  0
2017-11-03T21:19:24Z       0       0 54677321     105 0x00f4022b0000  0
2017-11-03T21:19:25Z       0       0 54693234     105 0x00f409f02000  0
2017-11-03T21:19:26Z       0       0 54708802     105 0x00f4118a2000  0
2017-11-03T21:19:27Z       0       0 54724756     105 0x00f419546000  0
2017-11-03T21:19:28Z       0       0 54740503     105 0x00f42104c000  0
2017-11-03T21:19:29Z       0       0 54756403     105 0x00f428c84000  0
2017-11-03T21:19:30Z       0       0 54772288     105 0x00f43089e000  0
2017-11-03T21:19:31Z       0       0 54788189     105 0x00f4384d8000  0
2017-11-03T21:19:32Z       0       0 54804087     105 0x00f44010c000  0
2017-11-03T21:19:33Z       0       0 54819884     105 0x00f447c76000  0
2017-11-03T21:19:34Z       0       0 54835803     105 0x00f44f8d4000  0
2017-11-03T21:19:35Z       0       0 54851465     105 0x00f457330000  0
2017-11-03T21:19:36Z       0       0 54867384     105 0x00f45ef8e000  0
2017-11-03T21:19:37Z       0       0 54883228     105 0x00f466b56000  0
2017-11-03T21:19:38Z       0       0 54899113     105 0x00f46e770000  0
2017-11-03T21:19:39Z       0       0 54915013     105 0x00f4763a8000  0
2017-11-03T21:19:40Z       0       0 54930884     105 0x00f47dfa6000  0
2017-11-03T21:19:41Z       0       0 54946713     105 0x00f485b50000  0
2017-11-03T21:19:42Z       0       0 54962381     105 0x00f48d5b8000  0
2017-11-03T21:19:43Z       0       0 54978324     105 0x00f495246000  0
2017-11-03T21:19:44Z       0       0 54994066     105 0x00f49cd42000  0
2017-11-03T21:19:45Z       0       0 55009428     105 0x00f4a4546000  0
2017-11-03T21:19:46Z       0       0 55025328     105 0x00f4ac17e000  0
2017-11-03T21:19:47Z       0       0 55041213     105 0x00f4b3d98000  0
2017-11-03T21:19:48Z       0       0 55057105     105 0x00f4bb9c0000  0
2017-11-03T21:19:49Z       0       0 55072895     105 0x00f4c351c000  0
2017-11-03T21:19:50Z       0       0 55088816     105 0x00f4cb17e000  0
2017-11-03T21:19:51Z       0       0 55104478     105 0x00f4d2bda000  0
2017-11-03T21:19:52Z       0       0 55120395     105 0x00f4da834000  0
2017-11-03T21:19:53Z       0       0 55136249     105 0x00f4e2410000  0
2017-11-03T21:19:54Z       0       0 55152134     105 0x00f4ea02a000  0
2017-11-03T21:19:55Z       0       0 55168032     105 0x00f4f1c5e000  0
2017-11-03T21:19:56Z       0       0 55183905     105 0x00f4f9860000  0
2017-11-03T21:19:57Z       0       0 55199818     105 0x00f5014b2000  0
2017-11-03T21:19:58Z       0       0 55215476     105 0x00f508f06000  0
2017-11-03T21:19:59Z       0       0 55231415     105 0x00f510b8c000  0
2017-11-03T21:20:00Z       0       0 55247179     105 0x00f5186b4000  0
2017-11-03T21:20:01Z       0       0 55263073     105 0x00f5202e0000  0
2017-11-03T21:20:02Z       0       0 55278876     105 0x00f527e56000  0
2017-11-03T21:20:03Z       0       0 55294674     105 0x00f52f9c2000  0
2017-11-03T21:20:04Z       0       0 55310368     105 0x00f53745e000  0
2017-11-03T21:20:05Z       0       0 55326036     105 0x00f53eec6000  0
2017-11-03T21:20:06Z       0       0 55341848     105 0x00f546a4e000  0
2017-11-03T21:20:07Z       0       0 55357361     105 0x00f54e380000  0
2017-11-03T21:20:08Z       0       0 55373168     105 0x00f555efe000  0
2017-11-03T21:20:09Z       0       0 55388899     105 0x00f55d9e4000  0
2017-11-03T21:20:10Z       0       0 55404676     105 0x00f565526000  0
2017-11-03T21:20:11Z       0       0 55420467     105 0x00f56d084000  0
2017-11-03T21:20:12Z       0       0 55436220     105 0x00f574b96000  0
2017-11-03T21:20:13Z       0       0 55452025     105 0x00f57c710000  0
2017-11-03T21:20:14Z       0       0 55467537     105 0x00f584040000  0
2017-11-03T21:20:15Z       0       0 55482728     105 0x00f58b6ee000  0
2017-11-03T21:20:16Z       0       0 55498376     105 0x00f59312e000  0
2017-11-03T21:20:17Z       0       0 55514166     105 0x00f59ac8a000  0
2017-11-03T21:20:18Z       0       0 55529957     105 0x00f5a27e8000  0
2017-11-03T21:20:19Z       0       0 55545727     105 0x00f5aa31c000  0
2017-11-03T21:20:20Z       0       0 55561513     106 0x00f5b1e70000  0
2017-11-03T21:20:21Z       0       0 55577155     106 0x00f5b98a4000  0
2017-11-03T21:20:22Z       0       0 55592989     106 0x00f5c1458000  0
2017-11-03T21:20:23Z       0       0 55608497     106 0x00f5c8d80000  0
2017-11-03T21:20:24Z       0       0 55624306     106 0x00f5d0902000  0
2017-11-03T21:20:25Z       0       0 55640048     106 0x00f5d83fe000  0
2017-11-03T21:20:26Z       0       0 55655830     106 0x00f5dff4a000  0
2017-11-03T21:20:27Z       0       0 55671609     106 0x00f5e7a90000  0
2017-11-03T21:20:28Z       0       0 55687262     106 0x00f5ef4da000  0
2017-11-03T21:20:29Z       0       0 55703073     106 0x00f5f7060000  0
2017-11-03T21:20:30Z       0       0 55718572     106 0x00f5fe976000  0
2017-11-03T21:20:31Z       0       0 55734413     106 0x00f606538000  0
2017-11-03T21:20:32Z       0       0 55750056     106 0x00f60df6e000  0
2017-11-03T21:20:33Z       0       0 55765842     106 0x00f615ac2000  0
2017-11-03T21:20:34Z       0       0 55781612     106 0x00f61d5f6000  0
2017-11-03T21:20:35Z       0       0 55797403     106 0x00f625154000  0
2017-11-03T21:20:36Z       0       0 55813183     106 0x00f62cc9c000  0
2017-11-03T21:20:37Z       0       0 55828858     106 0x00f634712000  0
2017-11-03T21:20:38Z       0       0 55844669     106 0x00f63c298000  0
2017-11-03T21:20:39Z       0       0 55860180     106 0x00f643bc6000  0
2017-11-03T21:20:40Z       0       0 55875983     106 0x00f64b73c000  0
2017-11-03T21:20:41Z       0       0 55891723     106 0x00f653234000  0
2017-11-03T21:20:42Z       0       0 55907494     106 0x00f65ad6a000  0
2017-11-03T21:20:43Z       0       0 55923282     106 0x00f6628c2000  0
2017-11-03T21:20:44Z       0       0 55939042     106 0x00f66a3e2000  0
2017-11-03T21:20:45Z       0       0 55954844     106 0x00f671f56000  0
2017-11-03T21:20:46Z       0       0 55970353     106 0x00f679880000  0
2017-11-03T21:20:47Z       0       0 55986191     106 0x00f68143c000  0
2017-11-03T21:20:48Z       0       0 56001820     106 0x00f688e56000  0
2017-11-03T21:20:49Z       0       0 56017603     106 0x00f6909a4000  0
2017-11-03T21:20:50Z       0       0 56033373     106 0x00f6984d8000  0
2017-11-03T21:20:51Z       0       0 56049080     106 0x00f69ff8e000  0
2017-11-03T21:20:52Z       0       0 56064865     106 0x00f6a7ae0000  0
2017-11-03T21:20:53Z       0       0 56080541     106 0x00f6af558000  0
2017-11-03T21:20:54Z       0       0 56096349     106 0x00f6b70d8000  0
2017-11-03T21:20:55Z       0       0 56111860     106 0x00f6bea04000  0
2017-11-03T21:20:56Z       0       0 56127670     106 0x00f6c658a000  0
2017-11-03T21:20:57Z       0       0 56143394     106 0x00f6ce062000  0
2017-11-03T21:20:58Z       0       0 56159174     106 0x00f6d5baa000  0
2017-11-03T21:20:59Z       0       0 56174962     106 0x00f6dd702000  0
2017-11-03T21:21:00Z       0       0 56190722     106 0x00f6e5222000  0
2017-11-03T21:21:01Z       0       0 56206524     106 0x00f6ecd96000  0
2017-11-03T21:21:02Z       0       0 56222045     106 0x00f6f46d8000  0
2017-11-03T21:21:03Z       0       0 56237901     106 0x00f6fc2b8000  0
2017-11-03T21:21:04Z       0       0 56253490     106 0x00f703c82000  0
2017-11-03T21:21:05Z       0       0 56269283     106 0x00f70b7e4000  0
2017-11-03T21:21:06Z       0       0 56285053     106 0x00f713318000  0
2017-11-03T21:21:07Z       0       0 56300844     106 0x00f71ae76000  0
2017-11-03T21:21:08Z       0       0 56316626     106 0x00f7229c2000  0
2017-11-03T21:21:09Z       0       0 56332328     106 0x00f72a46e000  0
2017-11-03T21:21:10Z       0       0 56348124     106 0x00f731fd6000  0
2017-11-03T21:21:11Z       0       0 56363635     106 0x00f739904000  0
2017-11-03T21:21:12Z       0       0 56379442     106 0x00f741482000  0
2017-11-03T21:21:13Z       0       0 56395165     106 0x00f748f58000  0
2017-11-03T21:21:14Z       0       0 56410847     106 0x00f7509dc000  0
2017-11-03T21:21:15Z       0       0 56426814     106 0x00f75869a000  0
2017-11-03T21:21:16Z       0       0 56442583     106 0x00f7601cc000  0
2017-11-03T21:21:17Z       0       0 56458368     106 0x00f767d1e000  0
2017-11-03T21:21:18Z       0       0 56473936     106 0x00f76f6be000  0
2017-11-03T21:21:19Z       0       0 56489777     106 0x00f777280000  0
2017-11-03T21:21:20Z       0       0 56505349     106 0x00f77ec28000  0
2017-11-03T21:21:21Z       0       0 56521128     106 0x00f78676e000  0
2017-11-03T21:21:22Z       0       0 56536905     106 0x00f78e2b0000  0
2017-11-03T21:21:23Z       0       0 56552693     106 0x00f795e08000  0
2017-11-03T21:21:24Z       0       0 56568476     106 0x00f79d956000  0
2017-11-03T21:21:25Z       0       0 56583918     106 0x00f7a51fa000  0
2017-11-03T21:21:26Z       0       0 56599542     106 0x00f7acc0a000  0
2017-11-03T21:21:27Z       0       0 56614775     106 0x00f7b430c000  0
